date, meadow height, meadow width, number of waterholes, max iterations number, min cats on start, min cows on start, min mouses on start, min sheeps on start, min wolves on start, max cats on start, max cows on start, max mouses on start, max sheeps on start, max wolves on start, min cats at the end, min cows at the end, min mouses at the end, min sheeps at the end, min wolves at the end, max cats at the end, max cows at the end, max mouses at the end, max sheeps at the end, max wolves at the end, created cheese, max number of cheese, eaten cheese, destroyed cheese, created grass, max number of grass, eaten grass, destroyed grass, current population of cats, current population of cows, current population of mouses, current population of sheeps, current population of wolves, max population of cats, max population of cows, max population of mouses, max population of sheeps, max population of wolves
06.06.2020 18:50:43, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 461, 461, 18, 479, 472, 472, 59, 531, 0, 0, 0, 0, 234, 9, 11, 8, 8, 237
06.06.2020 18:54:29, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 19, 313, 486, 0, 29, 63, 524, 0, 0, 162, 0, 83, 8, 11, 224, 10, 83
06.06.2020 18:55:24, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 29, 45, 21, 456, 34, 43, 97, 491, 0, 0, 0, 23, 2, 8, 9, 8, 23, 10
06.06.2020 18:56:51, 10, 10, 20, 1000, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 36, 9, 490, 0, 31, 56, 470, 214, 1, 0, 0, 14, 227, 8, 9, 11, 14
06.06.2020 18:58:57, 10, 10, 20, 1000, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 26, 0, 517, 0, 18, 27, 493, 0, 0, 0, 0, 214, 0, 22, 0, 0, 245
06.06.2020 19:21:24, 10, 30, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 120, 124, 48, 572, 125, 133, 55, 623, 1, 3, 3, 2, 4, 11, 8, 9, 9, 11
06.06.2020 19:23:13, 10, 30, 20, 100, 8, 8, 8, 8, 20, 10, 10, 10, 10, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 83, 135, 52, 1421, 89, 136, 49, 1437, 0, 0, 1, 0, 286, 8, 8, 8, 9, 286
06.06.2020 19:23:30, 10, 30, 20, 200, 8, 8, 8, 8, 20, 10, 10, 10, 10, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 13, 13, 0, 0, 17, 17, 0, 0, 8, 8, 8, 9, 20, 8, 8, 8, 9, 20
06.06.2020 19:25:25, 10, 30, 20, 200, 8, 8, 8, 8, 20, 10, 10, 10, 10, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 118, 29, 1729, 0, 122, 59, 1751, 0, 0, 0, 0, 699, 8, 8, 8, 9, 717
06.06.2020 19:54:52, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 28, 18, 479, 0, 34, 59, 531, 0, 0, 0, 0, 234, 9, 11, 8, 8, 237
